KOR,MATH,MEAN
67,76,71.5
61,85,73.0
67,95,81.0
94,88,91.0
69,96,82.5
87,96,91.5
94,66,80.0
78,80,79.0
86,77,81.5
99,47,73.0
96,81,88.5
99,58,78.5
81,92,86.5
76,64,70.0
90,78,84.0
95,85,90.0
90,60,75.0
84,89,86.5
67,90,78.5
97,71,84.0
61,80,70.5
98,64,81.0
81,82,81.5
83,62,72.5
98,88,93.0
88,67,77.5
94,76,85.0
76,64,70.0
89,74,81.5
58,95,76.5
84,88,86.0
96,56,76.0
58,87,72.5
65,78,71.5
84,86,85.0
73,81,77.0
96,69,82.5
81,87,84.0
70,78,74.0
91,89,90.0
92,53,72.5
66,98,82.0
73,69,71.0
73,87,80.0
98,96,97.0
76,67,71.5
74,99,86.5
70,76,73.0
80,89,84.5
78,80,79.0
84,69,76.5
100,71,85.5
74,66,70.0
72,83,77.5
92,57,74.5
85,75,80.0
94,83,88.5
56,100,78.0
75,67,71.0
95,66,80.5
82,83,82.5
87,68,77.5
66,97,81.5
86,89,87.5
90,51,70.5
95,63,79.0
88,88,88.0
57,87,72.0
65,96,80.5
100,89,94.5
94,86,90.0
99,94,96.5
71,74,72.5
86,59,72.5
82,83,82.5
64,87,75.5
77,81,79.0
94,84,89.0
96,90,93.0
83,91,87.0
76,91,83.5
91,64,77.5
66,100,83.0
100,89,94.5
86,58,72.0
85,83,84.0
85,70,77.5
98,95,96.5
64,94,79.0
77,85,81.0
80,76,78.0
68,73,70.5
82,67,74.5
96,84,90.0
96,93,94.5
99,91,95.0
97,65,81.0
57,88,72.5
45,97,71.0
84,62,73.0
78,76,77.0
80,86,83.0
99,77,88.0
82,85,83.5
76,87,81.5
49,94,71.5
90,63,76.5
82,72,77.0
67,75,71.0
75,81,78.0
93,73,83.0
94,89,91.5
85,73,79.0
81,60,70.5
95,65,80.0
63,100,81.5
63,97,80.0
91,53,72.0
72,68,70.0
98,85,91.5
70,85,77.5
79,70,74.5
70,94,82.0
93,50,71.5
90,91,90.5
90,100,95.0
72,91,81.5
44,97,70.5
53,98,75.5
74,73,73.5
79,74,76.5
94,100,97.0
84,61,72.5
65,81,73.0
80,72,76.0
76,65,70.5
67,80,73.5
94,55,74.5
88,84,86.0
89,60,74.5
64,96,80.0
83,57,70.0
87,67,77.0
46,96,71.0
84,96,90.0
70,89,79.5
72,96,84.0
91,71,81.0
76,100,88.0
83,100,91.5
100,65,82.5
99,62,80.5
70,79,74.5
90,82,86.0
100,97,98.5
84,86,85.0
83,65,74.0
66,75,70.5
88,89,88.5
75,66,70.5
80,68,74.0
95,58,76.5
76,99,87.5
94,85,89.5
81,81,81.0
63,87,75.0
93,99,96.0
80,83,81.5
92,89,90.5
91,69,80.0
95,90,92.5
94,74,84.0
97,70,83.5
100,100,100.0
83,88,85.5
90,72,81.0
89,69,79.0
92,72,82.0
72,69,70.5
45,99,72.0
95,87,91.0
99,61,80.0
99,76,87.5
67,96,81.5
71,85,78.0
52,100,76.0
77,96,86.5
86,97,91.5
68,72,70.0
78,74,76.0
82,82,82.0
96,98,97.0
92,92,92.0
86,73,79.5
94,72,83.0
89,98,93.5
99,92,95.5
51,94,72.5
76,94,85.0
96,99,97.5
89,53,71.0
79,80,79.5
93,73,83.0
82,88,85.0
84,70,77.0
64,94,79.0
96,75,85.5
77,91,84.0
79,99,89.0
98,91,94.5
91,65,78.0
68,80,74.0
92,72,82.0
60,95,77.5
94,63,78.5
84,82,83.0
95,53,74.0
99,98,98.5
50,97,73.5
76,70,73.0
92,87,89.5
91,87,89.0
89,89,89.0
91,88,89.5
76,84,80.0
67,98,82.5
87,57,72.0
98,87,92.5
51,91,71.0
86,64,75.0
83,95,89.0
71,73,72.0
62,87,74.5
73,80,76.5
98,47,72.5
55,85,70.0
90,53,71.5
89,61,75.0
72,88,80.0
78,94,86.0
86,60,73.0
49,97,73.0
89,76,82.5
88,62,75.0
98,53,75.5
89,58,73.5
63,92,77.5
100,89,94.5
85,60,72.5
68,100,84.0
75,83,79.0
68,94,81.0
66,87,76.5
83,96,89.5
82,77,79.5
57,89,73.0
76,95,85.5
89,67,78.0
82,71,76.5
88,97,92.5
89,93,91.0
87,96,91.5
78,93,85.5
90,96,93.0
73,100,86.5
96,83,89.5
91,52,71.5
98,89,93.5
90,81,85.5
59,97,78.0
98,42,70.0
73,77,75.0
100,54,77.0
100,58,79.0
100,46,73.0
83,60,71.5
84,63,73.5
76,79,77.5
91,70,80.5
100,94,97.0
85,96,90.5
73,96,84.5
79,97,88.0
82,87,84.5
83,78,80.5
98,44,71.0
60,80,70.0
57,87,72.0
80,60,70.0
53,98,75.5
93,80,86.5
98,90,94.0
86,75,80.5
81,76,78.5
46,94,70.0
95,90,92.5
98,57,77.5
70,80,75.0
88,100,94.0
97,43,70.0
90,76,83.0
77,97,87.0
98,44,71.0
75,66,70.5
89,98,93.5
81,74,77.5
70,96,83.0
92,83,87.5
96,83,89.5
88,59,73.5
79,78,78.5
92,68,80.0
72,99,85.5
89,85,87.0
94,69,81.5
95,58,76.5
99,41,70.0
61,100,80.5
99,74,86.5
59,94,76.5
82,68,75.0
94,81,87.5
90,54,72.0
90,86,88.0
74,85,79.5
96,67,81.5
57,91,74.0
55,100,77.5
64,78,71.0
90,91,90.5
66,81,73.5
87,61,74.0
78,67,72.5
98,45,71.5
91,79,85.0
95,89,92.0
98,70,84.0
66,84,75.0
98,72,85.0
99,67,83.0
69,85,77.0
73,76,74.5
96,76,86.0
99,73,86.0
100,94,97.0
98,55,76.5
90,50,70.0
96,61,78.5
100,71,85.5
71,72,71.5
72,81,76.5
70,83,76.5
84,75,79.5
84,60,72.0
81,71,76.0
75,72,73.5
81,96,88.5
51,97,74.0
97,47,72.0
78,100,89.0
59,98,78.5
84,69,76.5
75,100,87.5
72,79,75.5
85,87,86.0
96,94,95.0
66,94,80.0
69,92,80.5
77,95,86.0
88,62,75.0
95,82,88.5
97,49,73.0
91,93,92.0
69,74,71.5
61,96,78.5
47,93,70.0
100,55,77.5
83,97,90.0
95,63,79.0
58,82,70.0
84,85,84.5
75,96,85.5
52,92,72.0
54,87,70.5
92,56,74.0
57,98,77.5
74,83,78.5
90,81,85.5
81,84,82.5
98,56,77.0
65,100,82.5
54,98,76.0
85,56,70.5
53,93,73.0
76,95,85.5
41,99,70.0
59,94,76.5
78,62,70.0
96,45,70.5
55,85,70.0
92,71,81.5
73,82,77.5
57,88,72.5
91,92,91.5
67,87,77.0
88,67,77.5
87,82,84.5
99,73,86.0
58,85,71.5
71,73,72.0
90,61,75.5
66,90,78.0
93,97,95.0
91,97,94.0
87,86,86.5
75,91,83.0
84,61,72.5
43,100,71.5
87,78,82.5
63,96,79.5
50,92,71.0
74,87,80.5
93,54,73.5
54,89,71.5
89,58,73.5
88,68,78.0
92,78,85.0
100,97,98.5
81,96,88.5
64,76,70.0
81,62,71.5
86,59,72.5
89,78,83.5
92,73,82.5
97,79,88.0
98,52,75.0
54,92,73.0
93,66,79.5
73,69,71.0
96,60,78.0
95,64,79.5
88,79,83.5
83,58,70.5
91,73,82.0
78,96,87.0
92,67,79.5
53,92,72.5
92,90,91.0
79,89,84.0
92,88,90.0
86,68,77.0
88,88,88.0
76,83,79.5
100,62,81.0
70,97,83.5
95,79,87.0
94,58,76.0
82,62,72.0
100,99,99.5
94,73,83.5
90,52,71.0
57,84,70.5
79,71,75.0
81,80,80.5
98,94,96.0
94,99,96.5
48,97,72.5
98,64,81.0
76,95,85.5
77,87,82.0
74,71,72.5
94,69,81.5
98,45,71.5
86,64,75.0
67,88,77.5
80,90,85.0
63,79,71.0
92,78,85.0
66,98,82.0
70,84,77.0
92,74,83.0
70,77,73.5
70,95,82.5
65,78,71.5
47,97,72.0
58,90,74.0
85,68,76.5
89,85,87.0
83,84,83.5
84,97,90.5
74,68,71.0
60,80,70.0
99,72,85.5
53,87,70.0
56,94,75.0
74,94,84.0
91,83,87.0
41,100,70.5
90,57,73.5
71,91,81.0
81,64,72.5
64,92,78.0
67,78,72.5
54,93,73.5
85,93,89.0
79,82,80.5
60,93,76.5
67,83,75.0
94,72,83.0
98,80,89.0
74,89,81.5
81,69,75.0
69,99,84.0
91,49,70.0
71,76,73.5
75,95,85.0
65,77,71.0
88,58,73.0
77,100,88.5
75,69,72.0
90,64,77.0
68,100,84.0
90,81,85.5
45,98,71.5
90,85,87.5
68,91,79.5
44,99,71.5
92,98,95.0
82,98,90.0
80,92,86.0
76,96,86.0
99,50,74.5
75,74,74.5
92,82,87.0
66,90,78.0
56,92,74.0
95,46,70.5
86,54,70.0
77,88,82.5
78,77,77.5
99,49,74.0
99,64,81.5
84,89,86.5
82,61,71.5
100,63,81.5
98,51,74.5
85,83,84.0
89,60,74.5
99,47,73.0
70,94,82.0
66,87,76.5
58,83,70.5
85,73,79.0
93,48,70.5
62,84,73.0
99,82,90.5
98,73,85.5
67,100,83.5
99,89,94.0
92,58,75.0
52,88,70.0
91,90,90.5
87,91,89.0
94,61,77.5
87,84,85.5
80,70,75.0
81,93,87.0
99,74,86.5
67,100,83.5
71,71,71.0
77,70,73.5
77,97,87.0
79,71,75.0
69,99,84.0
81,68,74.5
65,87,76.0
91,63,77.0
80,80,80.0
92,71,81.5
97,67,82.0
87,59,73.0
81,84,82.5
80,62,71.0
72,95,83.5
78,93,85.5
80,70,75.0
89,70,79.5
85,97,91.0
97,59,78.0
76,93,84.5
97,96,96.5
93,73,83.0
69,75,72.0
80,64,72.0
85,64,74.5
75,73,74.0
79,82,80.5
82,72,77.0
82,65,73.5
99,65,82.0
71,86,78.5
69,71,70.0
80,79,79.5
70,97,83.5
96,53,74.5
97,98,97.5
69,72,70.5
92,97,94.5
100,92,96.0
59,87,73.0
92,57,74.5
77,77,77.0
86,70,78.0
99,63,81.0
70,100,85.0
77,82,79.5
94,47,70.5
72,83,77.5
88,78,83.0
86,100,93.0
83,78,80.5
45,97,71.0
56,95,75.5
50,93,71.5
90,66,78.0
89,87,88.0
52,96,74.0
68,99,83.5
85,63,74.0
97,44,70.5
83,80,81.5
95,71,83.0
78,80,79.0
68,97,82.5
46,95,70.5
100,69,84.5
89,97,93.0
82,74,78.0
96,96,96.0
79,96,87.5
85,80,82.5
98,69,83.5
96,73,84.5
60,92,76.0
75,80,77.5
69,81,75.0
93,52,72.5
70,99,84.5
98,44,71.0
62,99,80.5
43,98,70.5
54,90,72.0
67,96,81.5
63,93,78.0
82,93,87.5
52,95,73.5
71,76,73.5
90,62,76.0
97,48,72.5
61,85,73.0
67,83,75.0
89,59,74.0
93,53,73.0
68,100,84.0
76,67,71.5
60,93,76.5
86,84,85.0
70,75,72.5
66,81,73.5
49,92,70.5
97,47,72.0
78,80,79.0
97,62,79.5
72,83,77.5
91,79,85.0
91,71,81.0
78,91,84.5
83,60,71.5
86,57,71.5
98,58,78.0
100,96,98.0
92,95,93.5
49,99,74.0
67,95,81.0
76,74,75.0
92,96,94.0
84,58,71.0
89,82,85.5
87,60,73.5
96,61,78.5
96,70,83.0
81,70,75.5
99,81,90.0
99,80,89.5
94,70,82.0
88,98,93.0
67,96,81.5
91,90,90.5
53,93,73.0
92,99,95.5
93,59,76.0
90,65,77.5
82,85,83.5
93,52,72.5
85,98,91.5
87,62,74.5
90,50,70.0
83,71,77.0
90,82,86.0
84,74,79.0
75,79,77.0
63,92,77.5
62,83,72.5
100,41,70.5
86,76,81.0
85,95,90.0
46,99,72.5
99,87,93.0
66,96,81.0
91,51,71.0
60,84,72.0
86,98,92.0
68,98,83.0
100,60,80.0
45,99,72.0
80,64,72.0
92,85,88.5
70,74,72.0
81,94,87.5
88,84,86.0
80,95,87.5
82,63,72.5
83,70,76.5
74,93,83.5
92,94,93.0
80,75,77.5
94,66,80.0
97,75,86.0
51,100,75.5
74,98,86.0
97,100,98.5
74,93,83.5
50,95,72.5
88,97,92.5
54,87,70.5
94,84,89.0
75,68,71.5
94,62,78.0
70,80,75.0
75,99,87.0
70,70,70.0
84,63,73.5
97,76,86.5
58,95,76.5
96,46,71.0
96,79,87.5
59,95,77.0
73,73,73.0
83,71,77.0
84,64,74.0
83,71,77.0
94,76,85.0
85,87,86.0
57,97,77.0
75,72,73.5
72,99,85.5
82,64,73.0
100,62,81.0
84,72,78.0
42,99,70.5
56,98,77.0
73,85,79.0
66,86,76.0
84,62,73.0
89,95,92.0
69,80,74.5
99,75,87.0
58,87,72.5
94,71,82.5
85,59,72.0
86,99,92.5
67,98,82.5
48,92,70.0
69,83,76.0
78,92,85.0
91,90,90.5
83,68,75.5
95,78,86.5
82,82,82.0
72,69,70.5
78,90,84.0
84,67,75.5
70,97,83.5
96,71,83.5
95,58,76.5
64,85,74.5
65,83,74.0
98,47,72.5
69,84,76.5
84,72,78.0
75,100,87.5
69,71,70.0
93,91,92.0
94,57,75.5
98,86,92.0
98,65,81.5
92,85,88.5
73,87,80.0
85,65,75.0
91,97,94.0
47,96,71.5
94,72,83.0
54,89,71.5
55,92,73.5
85,80,82.5
62,82,72.0
100,67,83.5
56,88,72.0
55,89,72.0
94,58,76.0
85,91,88.0
71,74,72.5
80,66,73.0
83,67,75.0
99,92,95.5
83,81,82.0
97,97,97.0
45,96,70.5
58,85,71.5
93,97,95.0
58,100,79.0
94,58,76.0
57,85,71.0
89,92,90.5
88,87,87.5
91,69,80.0
89,56,72.5
72,100,86.0
76,76,76.0
90,64,77.0
46,98,72.0
85,84,84.5
68,94,81.0
95,60,77.5
85,77,81.0
87,87,87.0
93,57,75.0
86,70,78.0
69,85,77.0
50,90,70.0
81,72,76.5
68,100,84.0
88,52,70.0
75,80,77.5
69,93,81.0
68,86,77.0
76,82,79.0
97,99,98.0
89,79,84.0
76,74,75.0
89,70,79.5
80,85,82.5
85,67,76.0
79,66,72.5
54,89,71.5
98,69,83.5
87,90,88.5
96,99,97.5
63,83,73.0
78,74,76.0
77,63,70.0
79,97,88.0
78,85,81.5
56,89,72.5
99,91,95.0
89,73,81.0
82,67,74.5
97,52,74.5
68,85,76.5
83,95,89.0
92,98,95.0
48,95,71.5
86,77,81.5
83,74,78.5
66,87,76.5
59,96,77.5
91,66,78.5
96,48,72.0
79,66,72.5
60,85,72.5
93,67,80.0
51,95,73.0
88,98,93.0
66,77,71.5
97,83,90.0
80,88,84.0
94,60,77.0
81,85,83.0
58,83,70.5
86,82,84.0
83,67,75.0
60,85,72.5
83,60,71.5
79,96,87.5
83,74,78.5
100,95,97.5
68,99,83.5
86,67,76.5
58,88,73.0
74,81,77.5
90,88,89.0
52,90,71.0
85,72,78.5
90,69,79.5
99,75,87.0
91,96,93.5
93,92,92.5
100,93,96.5
94,84,89.0
63,84,73.5
69,91,80.0
55,87,71.0
87,57,72.0
60,91,75.5
96,95,95.5
77,97,87.0
65,95,80.0
96,72,84.0
97,81,89.0
85,69,77.0
75,93,84.0
90,74,82.0
90,97,93.5
77,71,74.0
99,74,86.5
69,92,80.5
83,62,72.5
81,63,72.0
41,100,70.5
74,85,79.5
82,64,73.0
80,63,71.5
44,99,71.5
84,88,86.0
91,60,75.5
90,70,80.0
77,99,88.0
79,98,88.5
60,80,70.0
51,98,74.5
95,89,92.0
91,64,77.5
97,74,85.5
66,93,79.5
93,75,84.0
70,73,71.5
77,75,76.0
66,74,70.0
63,95,79.0
61,79,70.0
71,96,83.5
93,74,83.5
100,86,93.0
93,65,79.0
81,68,74.5
61,93,77.0
85,93,89.0
61,98,79.5
71,72,71.5
81,85,83.0
94,70,82.0
81,68,74.5
70,78,74.0
98,75,86.5
74,87,80.5
77,88,82.5
59,88,73.5
53,100,76.5
58,82,70.0
85,73,79.0
68,99,83.5
67,92,79.5
66,83,74.5
86,94,90.0
90,84,87.0
70,94,82.0
91,93,92.0
97,71,84.0
95,69,82.0
58,94,76.0
99,45,72.0
99,65,82.0
46,96,71.0
68,73,70.5
97,66,81.5
59,92,75.5
56,94,75.0
81,81,81.0
99,50,74.5
97,75,86.0
77,98,87.5
97,94,95.5
78,81,79.5
60,81,70.5
94,56,75.0
89,57,73.0
78,64,71.0
100,56,78.0
94,83,88.5
71,80,75.5
90,89,89.5
83,100,91.5
74,100,87.0
77,78,77.5
100,43,71.5
68,85,76.5
77,73,75.0
71,96,83.5
80,83,81.5
94,57,75.5
77,66,71.5
91,83,87.0
98,87,92.5
72,80,76.0
98,91,94.5
51,93,72.0
93,56,74.5
100,58,79.0
96,79,87.5
100,47,73.5
54,94,74.0
87,63,75.0
84,81,82.5
97,98,97.5
69,96,82.5
88,95,91.5
82,66,74.0
97,74,85.5
75,100,87.5
87,63,75.0
52,88,70.0
67,82,74.5
92,51,71.5
86,59,72.5
52,88,70.0
57,99,78.0
56,90,73.0
99,51,75.0
73,69,71.0
60,80,70.0
79,98,88.5
96,44,70.0
74,86,80.0
95,91,93.0
90,99,94.5
93,93,93.0
65,97,81.0
91,80,85.5
94,50,72.0
65,84,74.5
58,91,74.5
89,100,94.5
47,94,70.5
96,95,95.5
67,90,78.5
68,90,79.0
99,80,89.5
57,91,74.0
93,56,74.5
78,81,79.5
73,67,70.0
74,88,81.0
91,99,95.0
69,71,70.0
72,96,84.0
93,88,90.5
97,78,87.5
74,98,86.0
86,74,80.0
96,71,83.5
86,55,70.5
50,99,74.5
69,76,72.5
100,88,94.0
60,82,71.0
80,78,79.0
65,98,81.5
89,93,91.0
73,75,74.0
94,83,88.5
83,75,79.0
76,72,74.0
77,64,70.5
90,98,94.0
71,86,78.5
97,97,97.0
56,86,71.0
75,73,74.0
85,98,91.5
78,81,79.5
69,94,81.5
87,86,86.5
71,85,78.0
90,79,84.5
86,56,71.0
50,96,73.0
77,97,87.0
84,86,85.0
97,75,86.0
82,90,86.0
89,87,88.0
76,93,84.5
100,40,70.0
71,98,84.5
89,85,87.0
64,96,80.0
57,92,74.5
87,69,78.0
69,75,72.0
59,92,75.5
68,83,75.5
89,78,83.5
98,67,82.5
81,66,73.5
76,64,70.0
90,80,85.0
91,73,82.0
59,88,73.5
92,81,86.5
94,89,91.5
66,84,75.0
77,83,80.0
81,73,77.0
84,85,84.5
77,100,88.5
63,80,71.5
83,86,84.5
91,51,71.0
79,62,70.5
95,58,76.5
83,100,91.5
87,91,89.0
78,85,81.5
94,69,81.5
90,69,79.5
94,90,92.0
87,55,71.0
98,60,79.0
98,62,80.0
92,81,86.5
70,73,71.5
98,98,98.0
93,93,93.0
80,69,74.5
59,81,70.0
97,82,89.5
75,79,77.0
89,56,72.5
91,87,89.0
87,77,82.0
82,74,78.0
46,98,72.0
99,49,74.0
78,91,84.5
90,89,89.5
84,62,73.0
94,95,94.5
93,76,84.5
70,72,71.0
77,90,83.5
86,72,79.0
92,79,85.5
77,75,76.0
88,91,89.5
99,64,81.5
48,92,70.0
82,76,79.0
56,99,77.5
58,93,75.5
89,60,74.5
97,73,85.0
90,82,86.0
73,75,74.0
66,97,81.5
93,91,92.0
96,69,82.5
96,83,89.5
65,86,75.5
70,80,75.0
99,82,90.5
78,63,70.5
87,95,91.0
92,87,89.5
98,67,82.5
100,89,94.5
85,59,72.0
58,86,72.0
77,88,82.5
59,90,74.5
94,81,87.5
77,81,79.0
66,81,73.5
90,65,77.5
65,92,78.5
74,96,85.0
78,93,85.5
67,90,78.5
72,96,84.0
82,71,76.5
81,96,88.5
86,90,88.0
61,91,76.0
95,46,70.5
96,82,89.0
90,67,78.5
86,61,73.5
80,92,86.0
88,72,80.0
71,77,74.0
57,97,77.0
82,73,77.5
88,65,76.5
90,50,70.0
48,95,71.5
81,93,87.0
66,96,81.0
95,60,77.5
79,80,79.5
66,74,70.0
90,64,77.0
72,90,81.0
63,82,72.5
95,51,73.0
99,79,89.0
96,47,71.5
76,96,86.0
93,72,82.5
94,68,81.0
92,61,76.5
86,81,83.5
72,72,72.0
82,69,75.5
86,90,88.0
68,78,73.0
86,68,77.0
84,98,91.0
86,64,75.0
99,57,78.0
69,94,81.5
74,89,81.5
95,71,83.0
71,73,72.0
93,85,89.0
47,97,72.0
100,89,94.5
87,89,88.0
100,94,97.0
80,82,81.0
93,58,75.5
74,96,85.0
70,97,83.5
52,100,76.0
74,84,79.0
48,100,74.0
84,78,81.0
98,59,78.5
93,54,73.5
81,72,76.5
51,89,70.0
57,83,70.0
62,87,74.5
92,65,78.5
82,69,75.5
93,81,87.0
67,83,75.0
88,79,83.5
88,75,81.5
98,72,85.0
84,72,78.0
80,96,88.0
99,82,90.5
93,94,93.5
59,83,71.0
62,83,72.5
83,66,74.5
59,86,72.5
99,43,71.0
54,87,70.5
97,68,82.5
47,95,71.0
75,97,86.0
92,96,94.0
56,94,75.0
80,60,70.0
90,51,70.5
85,92,88.5
75,83,79.0
99,74,86.5
77,81,79.0
95,94,94.5
99,80,89.5
74,96,85.0
52,100,76.0
95,76,85.5
100,74,87.0
82,80,81.0
74,78,76.0
77,84,80.5
66,90,78.0
64,85,74.5
62,97,79.5
73,74,73.5
98,60,79.0
81,85,83.0
88,57,72.5
95,69,82.0
61,100,80.5
52,100,76.0
80,84,82.0
96,79,87.5
80,62,71.0
87,70,78.5
85,57,71.0
98,71,84.5
87,74,80.5
49,95,72.0
87,60,73.5
99,48,73.5
58,95,76.5
87,54,70.5
71,81,76.0
76,98,87.0
97,86,91.5
81,73,77.0
63,97,80.0
76,80,78.0
99,72,85.5
94,79,86.5
66,100,83.0
86,66,76.0
91,87,89.0
71,95,83.0
79,81,80.0
90,53,71.5
95,90,92.5
100,68,84.0
98,96,97.0
92,69,80.5
85,62,73.5
68,92,80.0
81,68,74.5
87,98,92.5
88,85,86.5
96,79,87.5
91,60,75.5
79,74,76.5
85,85,85.0
43,100,71.5
82,88,85.0
55,89,72.0
54,90,72.0
93,94,93.5
96,93,94.5
100,95,97.5
91,57,74.0
88,62,75.0
95,54,74.5
93,85,89.0
88,71,79.5
93,86,89.5
70,86,78.0
72,95,83.5
93,67,80.0
67,79,73.0
83,91,87.0
90,99,94.5
89,81,85.0
95,76,85.5
93,75,84.0
100,76,88.0
81,74,77.5
96,72,84.0
78,95,86.5
77,82,79.5
52,91,71.5
59,100,79.5
88,86,87.0
91,54,72.5
81,76,78.5
76,68,72.0
94,73,83.5
95,73,84.0
92,52,72.0
85,70,77.5
72,81,76.5
67,84,75.5
80,60,70.0
95,63,79.0
82,68,75.0
47,100,73.5
80,73,76.5
92,55,73.5
99,64,81.5
61,80,70.5
67,86,76.5
87,75,81.0
85,64,74.5
94,71,82.5
91,94,92.5
82,61,71.5
92,93,92.5
50,100,75.0
91,58,74.5
68,72,70.0
98,68,83.0
52,99,75.5
93,68,80.5
61,92,76.5
75,70,72.5
89,95,92.0
71,77,74.0
74,66,70.0
86,60,73.0
99,97,98.0
61,91,76.0
44,97,70.5
92,59,75.5
90,87,88.5
87,91,89.0
98,57,77.5
53,92,72.5
89,51,70.0
76,66,71.0
75,92,83.5
74,68,71.0
72,73,72.5
76,97,86.5
80,65,72.5
66,77,71.5
58,97,77.5
92,65,78.5
85,90,87.5
53,98,75.5
74,75,74.5
93,55,74.0
54,92,73.0
68,77,72.5
79,99,89.0
97,52,74.5
72,94,83.0
78,77,77.5
78,95,86.5
91,49,70.0
90,80,85.0
81,59,70.0
57,90,73.5
94,58,76.0
84,68,76.0
88,58,73.0
86,75,80.5
98,82,90.0
96,79,87.5
95,66,80.5
41,100,70.5
61,89,75.0
